SS321,Inclusion & AdaptationPE & Physical Activity,"<a href='https://drive.google.com/file/d/14aKywRb0AuLZvZMI9pymnpJzdCLSkJLr/view?usp=sharing'target=""_blank"">2019</a>"
SS308,Injury and Rehabilitation,"<a href='https://drive.google.com/file/d/1QNZSuOMSkAA8dyYbYq_l_irgTyABL5hO/view?usp=sharing'target=""_blank"">2019</a>"
SS337,Injuries 3,"<a href='https://drive.google.com/file/d/1Z5XcTOODyyEF-5jVGKAaewvg-Blkr5CJ/view?usp=sharing'target=""_blank"">2019</a>"
SS331,Cell & Molecular Physiology,"<a href='https://drive.google.com/file/d/1L8Bw4rxqkNeElM3_4HMzXZYUhS8H4Gf0/view?usp=sharing'target=""_blank"">2019</a>"
SS417,Adventure Activities,"<a href='https://drive.google.com/file/d/16FTYKcqONJQ1AvZVBwPpp9tPVpNjist8/view?usp=sharing'target=""_blank"">2019</a>"
TP136,Knowledge Belief Scepticism: Intro to Epist,"<a href='https://drive.google.com/file/d/1zzwYFOxlXOJk0OIbJIfDdsYJ-TKs-twq/view?usp=sharing'target=""_blank"">2019</a>"
TP106,Theology: Sources Themes and Debates,"<a href='https://drive.google.com/file/d/1PT5doL17rgLXD0AlZsg2r8bO1MD8qCCA/view?usp=sharing'target=""_blank"">2019</a>"
TP101,History of Christianity,"<a href='https://drive.google.com/file/d/1zeiEwWVLsmtE-GIu8KfmBMA47aH2MxDN/view?usp=sharing'target=""_blank"">2019</a>"
ZH240,Chinese Language 3 (Ex Beginner),"<a href='https://drive.google.com/file/d/1FpuxYYf_HSS6y-_yCqjA_FHN6KSGvl5a/view?usp=sharing'target=""_blank"">2019</a>"
TP134,Introduction to Political Philosophy,"<a href='https://drive.google.com/file/d/1w631Bzw1agUvQj7SkqXvpg3D98tsF35u/view?usp=sharing'target=""_blank"">2019</a>"
TP132,Introduction to Philosophy: Central Issues,"<a href='https://drive.google.com/file/d/1GbCv2EAjJ7g79Q5ZKcFUVlSGiMBwNAIE/view?usp=sharing'target=""_blank"">2019</a>"
TP303,New Testament: The Gospels,"<a href='https://drive.google.com/file/d/17mcTeZn_pJa6Y899VFY8lro7bgVOPpPI/view?usp=sharing'target=""_blank"">2019</a>"
TP212,Christology,"<a href='https://drive.google.com/file/d/1c3X5Qr6YLy3TAl92_SmvHtEcGvB-tk1m/view?usp=sharing'target=""_blank"">2019</a>"
AC115,Management Accounting for Decision Making,"<a href='https://drive.google.com/file/d/1HRdvUGg2UojHUl11PcPTM9bzBu_ooGCC/view?usp=sharing'target=""_blank"">2019</a>"
BE114,Introduction to Biostatistics,"<a href='https://drive.google.com/file/d/17gSEhJGytgRN-6PBhRKMIklAWS9VKObt/view?usp=sharing'target=""_blank"">2019</a>"
TP211,Hebrew Scriptures: The Torah,"<a href='https://drive.google.com/file/d/1_yjJP9ZjYpphG0NZ6cUEkjlcNXiJ3tW0/view?usp=sharing'target=""_blank"">2019</a>"
AC318,Fund Accounting,"<a href='https://drive.google.com/file/d/1R4RxKPvRNgc7qstIj-JVn4LAcqTLZU4r/view?usp=sharing'target=""_blank"">2019</a>"
ZH107,Chinese Language 1 (Beginners),"<a href='https://drive.google.com/file/d/1JLd_G0-zc8Mx0tveRWGz18ii9gaDrr2T/view?usp=sharing'target=""_blank"">2019</a>"
AC223,Management Accounting: Cost Systems,"<a href='https://drive.google.com/file/d/1ti5_2VBuSjOS5p8tnMCTLXfG_zzSQuzl/view?usp=sharing'target=""_blank"">2019</a>"
AC512,Auditing and Professional Ethics,"<a href='https://drive.google.com/file/d/1qObl_hUDSTzG8zsGyk9xMuhSKx-jcwIn/view?usp=sharing'target=""_blank"">2019</a>"
AC548,Accounting for Decision-Making,"<a href='https://drive.google.com/file/d/1xqX8EXjHtm3f9L5ZPbJhg3AyIyn7dCf-/view?usp=sharing'target=""_blank"">2019</a>"
AC320,Management Accounting,"<a href='https://drive.google.com/file/d/1i5q-I_WRHux5PKa-R3CY9MYOKDsXdBQb/view?usp=sharing'target=""_blank"">2019</a>"
AC504,Financial Analysis,"<a href='https://drive.google.com/file/d/16HTKFu1dEv3IuR64IfZPhTWoobpDEcQh/view?usp=sharing'target=""_blank"">2019</a>"
AC598,Capital Taxes,"<a href='https://drive.google.com/file/d/1P5fVLHbMkpJssVbzwksZnLwCySmRD4zP/view?usp=sharing'target=""_blank"">2019</a>"
